,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
273,Zebra Technologies Corp,ZBRA,2020-06-27,255.44,2020-03-28,,2019-12-31,255.44
274,Duke Realty Corp,DRE,2020-06-30,35.1799,2020-03-31,31.9488,2019-12-31,33.996
275,DISH Network Corp,DISH,2020-06-30,34.51,2020-03-31,19.99,2019-12-31,35.47
276,IDEXX Laboratories Inc,IDXX,2020-06-30,330.16,2020-03-31,242.24,2019-12-31,261.13
277,UnitedHealth Group Inc,UNH,2020-06-30,294.95,2020-03-31,248.3106,2019-12-31,291.4568
278,American Water Works Company Inc,AWK,2020-06-30,128.1854,2020-03-31,118.5639,2019-12-31,121.3755
279,PayPal Holdings Inc,PYPL,2020-06-30,174.23,2020-03-31,95.74,2019-12-31,108.17
280,Westrock Co,WRK,2020-06-30,28.0735,2020-03-31,27.8416,2019-12-31,41.8059
281,Realty Income Corp,O,2020-06-30,59.0514,2020-03-31,48.8773,2019-12-31,71.4212
282,Royal Caribbean Cruises Ltd,RCL,2020-06-30,50.3,2020-03-31,32.17,2019-12-31,132.1978
283,Universal Health Services Inc,UHS,2020-06-30,92.89,2020-03-31,99.08,2019-12-31,143.2363
284,Cigna Corp,CI,2020-06-30,187.65,2020-03-31,177.18,2019-12-31,204.4482
285,Pentair PLC,PNR,2020-09-30,45.77,2020-06-30,37.8214,2020-03-31,29.447
286,Dollar Tree Inc,DLTR,2020-08-01,,2020-05-02,,2020-02-01,
287,Borgwarner Inc,BWA,2020-06-30,35.1552,2020-03-31,24.1415,2019-12-31,42.7344
288,CF Industries Holdings Inc,CF,2020-06-30,27.8985,2020-03-31,26.6376,2019-12-31,46.4158
289,Discovery Inc,DISCA,2020-06-30,21.1,2020-03-31,19.44,2019-12-31,32.74
290,Exelon Corp,EXC,2020-06-30,35.9309,2020-03-31,36.0546,2019-12-31,44.3149
291,TechnipFMC PLC,FTI,2020-06-30,6.84,2020-03-31,6.74,2019-12-31,20.9976
292,O'Reilly Automotive Inc,ORLY,2020-06-30,421.67,2020-03-31,301.05,2019-12-31,438.26
293,DENTSPLY SIRONA Inc,XRAY,2020-06-30,44.06,2020-03-31,38.7394,2019-12-31,56.2967
294,Fastenal Co,FAST,2020-09-30,45.09,2020-06-30,42.6059,2020-03-31,30.8636
295,Leggett & Platt Inc,LEG,2020-06-30,35.15,2020-03-31,26.3587,2019-12-31,49.6323
296,Invesco Ltd,IVZ,2020-06-30,10.6136,2020-03-31,8.7754,2019-12-31,17.0917
297,Intercontinental Exchange Inc,ICE,2020-06-30,91.6,2020-03-31,80.4902,2019-12-31,91.9193
298,Amazon.com Inc,AMZN,2020-06-30,2758.8201,2020-03-31,1949.72,2019-12-31,1847.84
299,Public Storage,PSA,2020-06-30,191.89,2020-03-31,196.5826,2019-12-31,208.6941
300,Constellation Brands Inc,STZ,2020-08-31,184.479996,2020-05-31,,2020-02-29,
301,Tapestry Inc,TPR,2020-06-27,,2020-03-28,,2019-12-28,
302,Ball Corp,BLL,2020-06-30,69.3601,2020-03-31,64.402,2019-12-31,64.2777
303,Qualcomm Inc,QCOM,2020-06-28,,2020-03-29,,2019-12-29,
304,NetApp Inc,NTAP,2020-07-31,44.3,2020-04-24,42.5877,2020-01-24,58.4443
305,Franklin Resources Inc,BEN,2020-06-30,20.6986,2020-03-31,16.474,2019-12-31,25.2447
306,Omnicom Group Inc,OMC,2020-06-30,54.6,2020-03-31,54.286,2019-12-31,79.3227
307,State Street Corp,STT,2020-06-30,63.55,2020-03-31,52.82,2019-12-31,77.644
308,Equifax Inc,EFX,2020-09-30,156.899994,2020-06-30,171.4593,2020-03-31,118.8468
309,Cardinal Health Inc,CAH,2020-06-30,52.19,2020-03-31,47.4917,2019-12-31,49.6094
310,Centene Corp,CNC,2020-06-30,63.55,2020-03-31,59.41,2019-12-31,62.87
311,Union Pacific Corp,UNP,2020-09-30,196.869995,2020-06-30,168.2266,2020-03-31,139.5533
312,Textron Inc,TXT,2020-07-04,,2020-04-04,,2020-01-04,
313,PPG Industries Inc,PPG,2020-09-30,122.080002,2020-06-30,105.5461,2020-03-31,82.7253
314,Occidental Petroleum Corp,OXY,2020-06-30,18.3,2020-03-31,11.5733,2019-12-31,39.975
315,Norfolk Southern Corp,NSC,2020-06-30,174.7152,2020-03-31,144.4771,2019-12-31,191.2605
316,Lincoln National Corp,LNC,2020-06-30,36.3722,2020-03-31,25.7014,2019-12-31,57.2326
